x,r,g,b,luminance,is_plateau
180,23,40,48,35.82899999999999,False
185,34,54,63,49.046,False
190,34,54,61,48.818,False
195,34,54,61,48.818,False
200,33,53,60,47.818,False
205,33,53,60,47.818,False
210,33,53,60,47.818,False
215,33,53,60,47.818,False
220,33,53,60,47.818,False
225,33,53,60,47.818,False
230,33,53,60,47.818,False
235,33,53,60,47.818,False
240,33,53,60,47.818,False
245,33,53,60,47.818,False
250,33,53,60,47.818,False
255,33,53,60,47.818,False
260,23,52,66,44.925,False
265,11,52,74,42.248999999999995,False
270,15,50,70,41.815,False
275,13,51,72,42.032,False
280,13,51,74,42.26,False
285,13,51,72,42.032,False
290,13,51,74,42.26,False
295,13,51,72,42.032,False
300,13,51,74,42.26,False
305,13,51,74,42.26,False
310,14,50,72,41.744,False
315,39,77,98,68.032,False
320,50,87,105,77.98899999999999,True
325,64,96,109,87.914,True
330,66,91,98,84.323,True
335,32,55,61,48.806999999999995,False
